TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
G;G;A;G;M;3;0;G;542 545 548 551;542 545 548 551;542 545 548 551
M;G;A;G;G;3;0;G;281 284 287 290;281 284 287 290;281 284 287 290
M;G;A;G;G;3;0;G;413 416 419 422;413 416 419 422;413 416 419 422
M;G;A;G;G;3;0;G;545 548 551 554;545 548 551 554;545 548 551 554
M;G;A;G;G;3;0;G;284 287 290 293;284 287 290 293;284 287 290 293
M;G;A;G;G;3;0;G;416 419 422 425;416 419 422 425;416 419 422 425
M;G;A;G;G;3;0;G;548 551 554 557;548 551 554 557;548 551 554 557
M;G;A;G;G;3;0;G;287 290 293 284;287 290 293 284;287 290 293 284
M;G;A;G;G;3;0;G;419 422 425 416;419 422 425 416;419 422 425 416
M;G;A;G;G;3;0;G;551 554 557 548;551 554 557 548;551 554 557 548
M;G;A;G;G;2;0;G;290 293 284 287;290 293 284 287;290 293 284 287
M;G;A;G;G;2;0;G;422 425 416 419;422 425 416 419;422 425 416 419
M;G;A;G;G;2;0;G;554 557 548 551;554 557 548 551;554 557 548 551
M;G;A;G;G;2;0;G;279 282 285 288;279 282 285 288;279 282 285 288
M;G;A;G;G;2;0;G;411 414 417 420;411 414 417 420;411 414 417 420
M;G;A;G;G;2;0;G;543 546 549 552;543 546 549 552;543 546 549 552
M;G;A;G;G;3;0;G;279 282 285 288;279 282 285 288;279 282 285 288
M;G;A;G;G;3;0;G;411 414 417 420;411 414 417 420;411 414 417 420
M;G;A;G;G;3;0;G;543 546 549 552;543 546 549 552;543 546 549 552
M;G;A;G;G;3;0;G;282 285 288 291;282 285 288 291;282 285 288 291
M;G;A;G;G;3;0;G;414 417 420 423;414 417 420 423;414 417 420 423
M;G;A;G;G;3;0;G;546 549 552 555;546 549 552 555;546 549 552 555
M;G;A;G;G;3;0;G;285 288 291 294;285 288 291 294;285 288 291 294
M;G;A;G;G;3;0;G;417 420 423 426;417 420 423 426;417 420 423 426
M;G;A;G;G;3;0;G;549 552 555 558;549 552 555 558;549 552 555 558
M;G;A;G;G;3;0;G;288 291 294 285;288 291 294 285;288 291 294 285
M;G;A;G;G;3;0;G;420 423 426 417;420 423 426 417;420 423 426 417
M;G;A;G;G;3;0;G;552 555 558 549;552 555 558 549;552 555 558 549
M;G;A;G;G;2;0;G;291 294 285 288;291 294 285 288;291 294 285 288
M;G;A;G;G;2;0;G;423 426 417 420;423 426 417 420;423 426 417 420
M;G;A;G;G;2;0;G;555 558 549 552;555 558 549 552;555 558 549 552
