# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
2;23/08/2018;17:01:40;Ordenacao;1;1;1;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;2;Acertou;3;5
2;23/08/2018;17:01:43;Ordenacao;1;1;1;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;1;Acertou;4;5
2;23/08/2018;17:01:47;Ordenacao;1;1;1;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;2;Acertou;3;5
2;23/08/2018;17:01:56;Ordenacao;1;1;4;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;3;Acertou;2;5
2;23/08/2018;17:01:59;Ordenacao;1;1;4;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;1;Acertou;4;5
2;23/08/2018;17:02:02;Ordenacao;1;1;4;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
2;23/08/2018;17:02:11;Ordenacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Retangulo-Pequeno-BordaGrossa-Preto;2;Acertou;3;5
2;23/08/2018;17:02:15;Ordenacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Retangulo-Medio-BordaGrossa-Preto;1;Acertou;4;5
2;23/08/2018;17:02:18;Ordenacao;1;2;8;GeometricosPB-Retangulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Retangulo-Grande-BordaGrossa-Preto;1;Acertou;4;5
2;23/08/2018;17:02:25;Ordenacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaGrossa-Preto;GeometricosPB-Quadrado-Pequeno-BordaGrossa-Preto;2;Acertou;3;5
2;23/08/2018;17:02:28;Ordenacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaGrossa-Preto;GeometricosPB-Quadrado-Medio-BordaGrossa-Preto;1;Acertou;4;5
2;23/08/2018;17:02:31;Ordenacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaGrossa-Preto;GeometricosPB-Quadrado-Grande-BordaGrossa-Preto;2;Acertou;3;5
2;23/08/2018;17:02:41;Ordenacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Circulo-Pequeno-BordaGrossa-Preto;4;Acertou;1;5
2;23/08/2018;17:02:45;Ordenacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Circulo-Medio-BordaGrossa-Preto;2;Acertou;3;5
2;23/08/2018;17:02:48;Ordenacao;1;2;5;GeometricosPB-Circulo-Pequeno-BordaGrossa-Preto;GeometricosPB-Circulo-Grande-BordaGrossa-Preto;1;Acertou;4;5
