# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
13;23/04/2019;19:48:43;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;2;Errou;3;0
13;23/04/2019;19:48:49;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;2;Errou;3;0
13;23/04/2019;19:48:55;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;1;Acertou;4;5
13;23/04/2019;19:49:00;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;2;Acertou;3;5
14;23/04/2019;19:49:18;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
14;23/04/2019;19:49:26;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;3;Acertou;2;5
14;23/04/2019;19:49:32;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
15;23/04/2019;19:56:35;Ordenacao;1;1;2;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;4;Acertou;1;5
16;23/04/2019;19:57:00;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;3;Acertou;2;5
16;23/04/2019;19:57:07;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;2;Acertou;3;5
16;23/04/2019;19:57:23;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
17;23/04/2019;19:57:42;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Acertou;3;5
